inclusion,current_role,consent_date,age,gender,race_eth,sex_orient,educator_status,high_lved,yrs_teach,current_class,current_class_other,teach_stud,school_type,school_type_other,school_loc,school_level,school_level_other,grades_teach,school_size,mh_syst,mh_prac,mh_prac_other,pro_1,pro_2,pro_3,pro_4,pro_5,pro_6,pro_7,pro_8,pro_9,pro_10,pro_11,pro_12,pro_13,pro_14,pro_15,pro_16,pro_17,pro_18,pro_19,pro_20,pro_21,pro_22,pro_23,pro_24,pro_25,pro_26,pro_27,pro_28,pro_29,pro_30,mhl_1,mhl_2,mhl_3,mhl_4,mhl_5,mhl_6,mhl_7,mhl_8,mhl_9,mhl_10,mhl_11,mhl_12,mhl_13,mhl_14,mhl_15,erq_1,erq_2,erq_3,erq_4,erq_5,erq_6,erq_7,erq_8,erq_9,erq_10,stress_1E,stress_1A,stress_2E,stress_2A,stress_3E,stress_3A,stress_4E,stress_4A,stress_5A,stress_5E,stress_6E,stress_6A,stress_7E,stress_7A,stress_8E,stress_8A,stress_9E,stress_9A,stress_10E,stress_10A,stress_11E,stress_11A,stress_12E,stress_12A,stress_13E,stress_13A,stress_14E,stress_14A,stress_15E,stress_15A,leav_prof_yr,leave_prof_five_yrs,leave_prof_why,leave_prof_why_oth
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,25-34,Female,White or Caucasian,Prefer not to answer,Current K-12 license through TSPC,Master's Degree,2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Elementary School,,3,501 to 1000 students,Yes,"Social-emotional or mental health interventions/supports,School-based health center",,Sometimes,Often,Sometimes,Sometimes,Often,Often,Very often,Sometimes,Often,Sometimes,Often,Often,Rarely,Rarely,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat agree,Somewhat agree,Agree,Somewhat agree,6,2,5,2,5,2,6,2,9,3,8,2,2,2,7,3,,,4,,,,5,2,5,,4,,,,25-49%,25-49%,"Administrative support,Student behavior,Staff turnover,Salary,Lack of resources,Emotional exhaustion",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,25-34,Female,White or Caucasian,Straight,Preliminary License,Bachelor's Degree,6-10 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Elementary School,,1,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Very often,Often,Sometimes,Never,Sometimes,Rarely,Never,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Very often,Very often,Very often,Often,Often,Very often,Never,Often,Rarely,Often,Sometimes,Rarely,Often,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Agree,3,2,5,4,6,3,8,5,9,9,4,4,6,3,4,4,8,3,1,,,,2,2,2,2,2,2,3,3,25-49%,50-74%,"Administrative support,Workload,Salary,Emotional exhaustion",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,35-44,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,6-10 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Elementary School,,3,501 to 1000 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies,School-based health center,Other program or practice (Please specify.)",Sources of Strength,Sometimes,Often,Often,Sometimes,Rarely,Often,Rarely,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Very often,Very often,Often,Sometimes,Very often,Very often,Often,Very often,Never,Very often,Never,Sometimes,Very often,Never,Very often,Often,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat disagree,Neither agree nor disagree (neutral),6,6,6,6,5,6,6,6,5,5,2,3,4,4,4,4,4,4,2,2,4,5,4,5,4,4,2,2,2,2,0-24%,25-49%,"Student behavior,Salary,Emotional exhaustion,Work environment,School culture",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,25-34,Female,White or Caucasian,Bisexual,Preliminary License,Master's Degree,2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,"6,7,8,9,10,11,12+",501 to 1000 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Often,Very often,Often,Very often,Often,Never,Rarely,Often,Sometimes,Very often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Very often,Very often,Very often,Very often,Sometimes,Sometimes,Very often,Often,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,6,6,7,8,8,6,8,6,7,5,5,3,5,2,9,4,8,4,6,2,4,2,3,7,3,5,2,1,4,2,25-49%,50-74%,"Administrative support,Student behavior,Staff shortages,Workload,Lack of resources,Emotional exhaustion,Work environment,School culture",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,45-54,"Female,Cisgender (your gender identity is the same as your sex assigned at birth)",White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,More than 15 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Elementary School,,"K,1,2,3,4,5",501 to 1000 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Rarely,Very often,Often,Rarely,Very often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Very often,Rarely,Sometimes,Very often,Very often,Often,Very often,Sometimes,Often,Sometimes,Very often,Never,Very often,Rarely,Often,Very often,Sometimes,Very often,Very often,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,6,4,4,2,4,2,2,1,2,2,3,3,2,2,2,1,5,2,1,1,1,1,3,1,2,2,1,1,1,1,0-24%,25-49%,"Student behavior,Workload,Salary,Work environment,School culture",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,35-44,"Male,Cisgender (your gender identity is the same as your sex assigned at birth)",White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,6-10 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,"6,7,8",Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Very often,Very often,Very often,Never,Very often,Never,Sometimes,Sometimes,Never,Sometimes,Very often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Very often,Often,Very often,Sometimes,Often,Rarely,Often,Often,Rarely,Very often,Very often,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree (neutral),Somewhat disagree,Neither agree nor disagree (neutral),Disagree,Agree,Somewhat disagree,Neither agree nor disagree (neutral),Agree,Somewhat agree,Agree,6,8,3,7,,10,6,8,6,8,8,8,,10,,10,5,7,,10,,10,,10,,10,5,7,,10,0-24%,0-24%,"Administrative support,Staff shortages,Staff turnover,Workload,Salary,Lack of resources,Limited planning time,Emotional exhaustion,Work environment,School culture",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,55-64,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,More than 15 years,Other (Please Specify),Self contained special education,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Other (Please Specify),I teach 5-8 in an 6-8 school,"5,6,7,8",501 to 1000 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Often,Sometimes,Often,Never,Rarely,Never,Often,Very often,Often,Very often,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,Very often,Often,Never,Very often,Never,Often,Sometimes,Rarely,Often,Very often,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,4,2,5,5,8,6,8,7,6,6,8,5,2,1,8,6,1,1,1,1,1,1,1,1,5,5,5,2,1,1,25-49%,75-100%,"Student behavior,Emotional exhaustion,Retirement",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,25-34,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,2-5 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,"6,7,8",501 to 1000 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Very often,Very often,Often,Often,Often,Often,Rarely,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Often,Very often,Very often,Very often,Often,Very often,Often,Rarely,Very often,Sometimes,Very often,Sometimes,Often,Often,Often,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat agree,Neither agree nor disagree (neutral),Disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree (neutral),Neither agree nor disagree (neutral),Neither agree nor disagree (neutral),Neither agree nor disagree (neutral),9,7,5,3,4,3,7,3,9,5,8,5,7,4,7,3,5,3,4,2,,,5,3,4,2,5,3,4,2,0-24%,25-49%,"Administrative support,Student behavior,Staff turnover,Workload,Lack of resources,Limited planning time,Emotional exhaustion",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,45-54,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,6,501 to 1000 students,I am not sure,,,Very often,Very often,Often,Often,Sometimes,Often,Very often,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Often,Often,Often,Often,Very often,Often,Often,Often,Never,Very often,Never,Very often,Sometimes,Never,Very often,Often,Agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Neither agree nor disagree (neutral),Disagree,Neither agree nor disagree (neutral),Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,10,2,6,2,7,3,7,2,10,2,8,2,5,2,7,2,7,2,,,6,2,5,,4,2,1,1,,,0-24%,0-24%,"Student behavior,Staff shortages,Workload,Salary,Lack of resources,Limited planning time,Emotional exhaustion,Work environment,School culture,Retirement,Another option not listed",my retirement is about6 years out
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,21-24,Female,White or Caucasian,Straight,"Current K-12 license through TSPC,Preliminary License,Reciprocal License",Bachelor's Degree,2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,6,Less than 500 students,Yes,Social-emotional or mental health interventions/supports,,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Never,Often,Often,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,7,4,3,2,7,4,5,2,5,2,3,2,,,7,5,4,2,2,,,,1,1,3,2,,,,,0-24%,25-49%,"Student behavior,Lack of resources,Emotional exhaustion",
